plant,disease,image
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1542749471.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1545680937.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1546870332.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1551517348.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1553432639.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1556262944.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1557580898.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\155778794.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1560029412.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1561430411.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1563794954.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1569164715.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1569692154.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1573602024.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1575866220.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1576606254.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1578564024.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1584698721.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1586292581.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1595141360.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1596468225.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1609948219.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1616824359.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1629534694.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1635136764.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1635220625.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\164144958.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1650008995.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1652157522.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1652920595.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1668838224.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\167313296.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1674288573.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1677224730.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1678311318.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1681772018.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1692621028.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1697161067.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1700324452.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1700812370.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1702068619.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1708593214.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1709691411.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\171546937.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1718658976.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1720212686.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1722126168.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1722175051.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1725598881.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1731652110.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1733574271.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1739864126.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1740309612.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1750963666.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1752693374.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1757057989.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1758885297.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1763195879.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1767778795.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1772713207.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1773875430.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1774492072.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1774675464.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1775350103.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1778971646.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1780364325.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1784661840.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1785596731.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1795318849.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1795774689.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1796303978.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1797773732.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1805115397.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1806336706.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1813889006.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1815147513.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1816076936.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1820254127.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\182316349.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1823619640.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1824992309.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1828496803.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1830061664.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\183428396.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1836048821.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1837622218.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1841269407.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1844847808.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1849702886.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1850723562.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1857766258.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1860121418.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\186394398.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1876922129.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1877332484.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1881994461.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1889205491.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1889215655.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1893906773.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\190449795.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1905665106.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1905806148.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\190698162.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1907786974.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1908179787.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1909574970.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1919668160.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1924360069.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1926670152.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1929510475.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1931488881.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1932481347.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1942147134.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1947066099.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1957663737.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1960345472.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1963346508.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1966222636.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1973051224.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1981073260.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1990916295.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\1993797048.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2005257030.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2005545104.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2007737070.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2008117756.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2012036161.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\201421885.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\201703584.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2021674610.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2023813792.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2027426362.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2028087473.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2034410033.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2038601042.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2044199243.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2046239409.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2051495839.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2052193319.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2054830345.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2067363667.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2076904625.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2078899075.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\208444967.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\208548099.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\210460809.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2105186227.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2109198789.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\211163536.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2116979707.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2142120980.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2143925311.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2146353282.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2149970580.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2150625929.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2151417299.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2154562670.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2154636640.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2157322964.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2164217173.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2167218965.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2168664351.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2169173551.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2170826967.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2173516398.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2174393587.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2177675284.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2181262010.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2183340836.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2198388199.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2203204324.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2203981379.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2207027505.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2209572670.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2221240763.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2228874754.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2233347534.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2235761050.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\223668500.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2243019094.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\224347038.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2246807690.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2253776549.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2255664961.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2255774334.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2258402011.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2261678500.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2263743432.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2264163141.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2265156316.jpg
Cassava,bacterial blight,./plant\Cassava\Cassava___bacterial blight\2267434559.jpg
